comment,author,published_at,like_count,video_id
Ladka hoke bhi ladkiyo ke kapde ka reviews dekh raha dhruvi dekh le kitna sacha follower hu tera 😂,@vismaysheth7356,2023-06-24T11:30:46Z,65,-_V7b-F2vFc
Hey dhruvi love from karnataka ❤,@R_T_Joshi,2023-06-24T11:01:49Z,2,-_V7b-F2vFc
7:28 best part ever in every videos and both channels ❤❤😘,@CricketWithVishu638,2023-06-24T10:12:09Z,5,-_V7b-F2vFc
1:22 is best❤,@CricketWithVishu638,2023-06-24T10:10:52Z,7,-_V7b-F2vFc
Very nice ur looking gorgeous & beautiful ❤❤❤,@ketkinanda9569,2023-06-24T10:07:41Z,2,-_V7b-F2vFc
Love you dhruvi❤️❤️❤️,@priyanshupatra2911,2023-06-24T09:42:39Z,3,-_V7b-F2vFc
An angel.,@rakeshveena7207,2023-06-24T09:38:33Z,3,-_V7b-F2vFc
Sary achy hai bs purple skort return kardo ap wo achi nahi lag rhi ha ❤,@aimanzahra687,2023-06-24T09:35:02Z,3,-_V7b-F2vFc
Very awesome look and actually you look awesome in every dress ❤😊,@playzlive,2023-06-24T09:28:06Z,7,-_V7b-F2vFc
Di today is my birthday and I turned 15...,@Medha-o8,2023-06-24T09:18:10Z,5,-_V7b-F2vFc
didi you look amazing in all the dresses❤,@shreemishra6009,2023-06-24T08:41:22Z,6,-_V7b-F2vFc
4:26 this one is best on you,@ritikpatel1223,2023-06-24T08:38:19Z,5,-_V7b-F2vFc
"Thank godd... Finally a video on this channel...❤ Eagerly waiting for new video and especially with brand new concept loved it ❤
And hoping more segment like thiss ❤❤
All clothing piece were awesom but the first dress neon coloured hit different on you ❤ that look was looking angelic 😍🧿
Lots of love...❤❤",@nityakumari5979,2023-06-24T08:34:32Z,8,-_V7b-F2vFc
Bhai tu kyu dekh raha hai Teri to koi gf aur best friend bhi nhi hai 😂😂,@ritikpatel1223,2023-06-24T08:33:57Z,1,-_V7b-F2vFc
I am ist,@rajeevkashyap5321,2023-06-24T08:33:34Z,1,-_V7b-F2vFc
I LOVE YOU DII I WATCH ALL YOUR VIDEOS AND VLOGS 😊❤❤❤❤❤,@Yug_4390,2023-06-24T08:31:45Z,2,-_V7b-F2vFc
Hlo Di plz reply❤,@divyanshi129,2023-06-24T08:30:46Z,2,-_V7b-F2vFc
Hii gorgeous ❤...,@niturai_31,2023-06-24T08:30:42Z,3,-_V7b-F2vFc
Hey 1st,@mohdkhadeer1728,2023-06-24T08:30:40Z,1,-_V7b-F2vFc
Support karo sister😢😢😢 please,@triggeredlife,2023-06-24T08:30:34Z,1,-_V7b-F2vFc
Noice vlog ❤,@Aidneufbsosnwdinsidnan,2023-06-24T08:30:28Z,3,-_V7b-F2vFc
❤❤❤❤,@prosantobiswas789,2025-09-28T15:13:35Z,0,k__Yf85C7M4
bangla  bolo,@sagarsammy8869,2024-08-07T09:07:20Z,0,k__Yf85C7M4
